name,church,blurb,image
Tom Simpson,"St Matthew's, Cambridge","Tom is the associate vicar of St Matthew's, Cambridge. He hopes to lead a church plant in the Cambridgeshire area in the coming years. He will be sharing a few verses from God's word to start the day.",tom-simpson.jpg
Josh Monteiro,"Emmanuel Church, Northstowe","Josh Monteiro is the pastor of Emmanuel Northstowe, an FIEC church plant that started in 2018 with a group of people mainly from Grace Church Arbury and St Andrew the Great. He will be sharing a bit of the story of church planting in the wider area in recent years.",josh-monteiro.jpg
